result0,abs_diff0,DP_type,blocker,epsilon,gamma
34.37342203365309,0.1207766301601012,standard_DP,ResamplingDataBlockerConstantSize,7,4
34.54356586497159,0.04936720115839677,windsorized_DP,ResamplingDataBlockerConstantSize,7,4
34.478333829881784,0.015864833931409805,standard_DP,ResamplingDataBlockerConstantBlocks,7,4
34.57139773921756,0.07719907540436566,windsorized_DP,ResamplingDataBlockerConstantBlocks,7,4
34.515207627793345,0.021008963980150952,standard_DP,NaiveDataBlocker,7,4
34.658298528275274,0.1640998644620808,windsorized_DP,NaiveDataBlocker,7,4
34.51227188310034,0.018073219287146003,standard_DP,ResamplingDataBlockerConstantSize,7,4
34.50938918444156,0.015190520628365789,windsorized_DP,ResamplingDataBlockerConstantSize,7,4
34.489280839233025,0.004917824580168428,standard_DP,ResamplingDataBlockerConstantBlocks,7,4
34.44299979708654,0.05119886672665075,windsorized_DP,ResamplingDataBlockerConstantBlocks,7,4
34.71249364461612,0.21829498080292353,standard_DP,NaiveDataBlocker,8,2
34.606131824518364,0.11193316070517056,windsorized_DP,NaiveDataBlocker,8,2
34.752463989071465,0.2582653252582716,standard_DP,ResamplingDataBlockerConstantSize,8,2
34.4928511466721,0.0013475171410917142,windsorized_DP,ResamplingDataBlockerConstantSize,8,2
34.80603894917008,0.3118402853568867,standard_DP,ResamplingDataBlockerConstantBlocks,8,2
34.48062301406083,0.013575649752361585,windsorized_DP,ResamplingDataBlockerConstantBlocks,8,2
34.68878165772121,0.19458299390801415,standard_DP,NaiveDataBlocker,8,2
34.59830340685705,0.10410474304385531,windsorized_DP,NaiveDataBlocker,8,2
34.330379363876595,0.16381929993659838,standard_DP,ResamplingDataBlockerConstantSize,8,2
34.62117166096526,0.1269729971520661,windsorized_DP,ResamplingDataBlockerConstantSize,8,2
34.4141057510232,0.08009291278999342,standard_DP,ResamplingDataBlockerConstantBlocks,8,2
34.46711300190518,0.02708566190801065,windsorized_DP,ResamplingDataBlockerConstantBlocks,8,2
34.642217077564496,0.1480184137513021,standard_DP,NaiveDataBlocker,8,4
34.58223242322022,0.08803375940702551,windsorized_DP,NaiveDataBlocker,8,4
34.54168518795391,0.04748652414071586,standard_DP,ResamplingDataBlockerConstantSize,8,4
34.49101292179098,0.0031857420222110022,windsorized_DP,ResamplingDataBlockerConstantSize,8,4
34.47993823000921,0.014260433803983119,standard_DP,ResamplingDataBlockerConstantBlocks,8,4
34.4777177656688,0.01648089814439402,windsorized_DP,ResamplingDataBlockerConstantBlocks,8,4
34.573512754330636,0.07931409051744254,standard_DP,NaiveDataBlocker,8,4
34.542752413602145,0.048553749788950995,windsorized_DP,NaiveDataBlocker,8,4
34.387618264503104,0.10658039931009,standard_DP,ResamplingDataBlockerConstantSize,8,4
34.317803592750295,0.17639507106289898,windsorized_DP,ResamplingDataBlockerConstantSize,8,4
35.2904701150355,0.796271451222303,standard_DP,ResamplingDataBlockerConstantBlocks,8,4
34.500735514160354,0.006536850347160339,windsorized_DP,ResamplingDataBlockerConstantBlocks,8,4
34.53743364119581,0.0432349773826175,standard_DP,NaiveDataBlocker,9,2
34.70870680233555,0.21450813852235484,windsorized_DP,NaiveDataBlocker,9,2
34.44863494964983,0.045563714163364466,standard_DP,ResamplingDataBlockerConstantSize,9,2
34.49562530436726,0.0014266405540652727,windsorized_DP,ResamplingDataBlockerConstantSize,9,2
34.54179378940144,0.04759512558824497,standard_DP,ResamplingDataBlockerConstantBlocks,9,2
34.485380143499576,0.00881852031361774,windsorized_DP,ResamplingDataBlockerConstantBlocks,9,2
34.59497859007181,0.10077992625861754,standard_DP,NaiveDataBlocker,9,2
34.61059320660633,0.1163945427931381,windsorized_DP,NaiveDataBlocker,9,2
34.46501828079595,0.02918038301724124,standard_DP,ResamplingDataBlockerConstantSize,9,2
34.50027890824304,0.0060802444298460046,windsorized_DP,ResamplingDataBlockerConstantSize,9,2
34.5205835993657,0.02638493555250676,standard_DP,ResamplingDataBlockerConstantBlocks,9,2
34.45032855296773,0.043870110845460886,windsorized_DP,ResamplingDataBlockerConstantBlocks,9,2
34.53655494128797,0.04235627747477366,standard_DP,NaiveDataBlocker,9,4
34.579887911108045,0.08568924729485161,windsorized_DP,NaiveDataBlocker,9,4
34.33570990340701,0.1584887604061862,standard_DP,ResamplingDataBlockerConstantSize,9,4
34.49441238361445,0.0002137198012590602,windsorized_DP,ResamplingDataBlockerConstantSize,9,4
33.9882625025332,0.5059361612799904,standard_DP,ResamplingDataBlockerConstantBlocks,9,4
34.46828548170733,0.025913182105860244,windsorized_DP,ResamplingDataBlockerConstantBlocks,9,4
34.607765702329814,0.11356703851662076,standard_DP,NaiveDataBlocker,9,4
34.5532115490435,0.059012885230309564,windsorized_DP,NaiveDataBlocker,9,4
34.48592427028689,0.008274393526306767,standard_DP,ResamplingDataBlockerConstantSize,9,4
34.547400964290496,0.053202300477302344,windsorized_DP,ResamplingDataBlockerConstantSize,9,4
34.506573354782816,0.012374690969622293,standard_DP,ResamplingDataBlockerConstantBlocks,9,4
34.52992364164185,0.035724977828657245,windsorized_DP,ResamplingDataBlockerConstantBlocks,9,4

